dia,hora,intervalo,Simples,BD,BS,TD,TS,preco_pt,preco_es
01/01/2020,00:15,[00:00-00:15[,S,V,V,V,V,38.60,38.60
01/01/2020,00:30,[00:15-00:30[,S,V,V,V,V,38.60,38.60
01/01/2020,00:45,[00:30-00:45[,S,V,V,V,V,38.60,38.60
01/01/2020,01:00,[00:45-01:00[,S,V,V,V,V,38.60,38.60
01/01/2020,01:15,[01:00-01:15[,S,V,V,V,V,36.55,36.55
01/01/2020,01:30,[01:15-01:30[,S,V,V,V,V,36.55,36.55
01/01/2020,01:45,[01:30-01:45[,S,V,V,V,V,36.55,36.55
01/01/2020,02:00,[01:45-02:00[,S,V,V,V,V,36.55,36.55
01/01/2020,02:15,[02:00-02:15[,S,V,V,V,V,32.32,32.32
01/01/2020,02:30,[02:15-02:30[,S,V,V,V,V,32.32,32.32
01/01/2020,02:45,[02:30-02:45[,S,V,V,V,V,32.32,32.32
01/01/2020,03:00,[02:45-03:00[,S,V,V,V,V,32.32,32.32
01/01/2020,03:15,[03:00-03:15[,S,V,V,V,V,30.85,30.85
01/01/2020,03:30,[03:15-03:30[,S,V,V,V,V,30.85,30.85
01/01/2020,03:45,[03:30-03:45[,S,V,V,V,V,30.85,30.85
01/01/2020,04:00,[03:45-04:00[,S,V,V,V,V,30.85,30.85
01/01/2020,04:15,[04:00-04:15[,S,V,V,V,V,30.14,30.14
01/01/2020,04:30,[04:15-04:30[,S,V,V,V,V,30.14,30.14
01/01/2020,04:45,[04:30-04:45[,S,V,V,V,V,30.14,30.14
01/01/2020,05:00,[04:45-05:00[,S,V,V,V,V,30.14,30.14
01/01/2020,05:15,[05:00-05:15[,S,V,V,V,V,30.17,30.17
01/01/2020,05:30,[05:15-05:30[,S,V,V,V,V,30.17,30.17
01/01/2020,05:45,[05:30-05:45[,S,V,V,V,V,30.17,30.17
01/01/2020,06:00,[05:45-06:00[,S,V,V,V,V,30.17,30.17
01/01/2020,06:15,[06:00-06:15[,S,V,V,V,V,30.00,30.00
01/01/2020,06:30,[06:15-06:30[,S,V,V,V,V,30.00,30.00
01/01/2020,06:45,[06:30-06:45[,S,V,V,V,V,30.00,30.00
01/01/2020,07:00,[06:45-07:00[,S,V,V,V,V,30.00,30.00
01/01/2020,07:15,[07:00-07:15[,S,V,F,V,C,30.65,30.65
01/01/2020,07:30,[07:15-07:30[,S,V,F,V,C,30.65,30.65
01/01/2020,07:45,[07:30-07:45[,S,V,F,V,C,30.65,30.65
01/01/2020,08:00,[07:45-08:00[,S,V,F,V,C,30.65,30.65
01/01/2020,08:15,[08:00-08:15[,S,F,F,C,C,30.65,30.65
01/01/2020,08:30,[08:15-08:30[,S,F,F,C,C,30.65,30.65
01/01/2020,08:45,[08:30-08:45[,S,F,F,C,C,30.65,30.65
01/01/2020,09:00,[08:45-09:00[,S,F,F,C,C,30.65,30.65
01/01/2020,09:15,[09:00-09:15[,S,F,F,P,C,30.27,30.27
01/01/2020,09:30,[09:15-09:30[,S,F,F,P,C,30.27,30.27
01/01/2020,09:45,[09:30-09:45[,S,F,F,P,P,30.27,30.27
01/01/2020,10:00,[09:45-10:00[,S,F,F,P,P,30.27,30.27
01/01/2020,10:15,[10:00-10:15[,S,F,F,P,P,30.34,30.34
01/01/2020,10:30,[10:15-10:30[,S,F,F,P,P,30.34,30.34
01/01/2020,10:45,[10:30-10:45[,S,F,F,C,P,30.34,30.34
01/01/2020,11:00,[10:45-11:00[,S,F,F,C,P,30.34,30.34
01/01/2020,11:15,[11:00-11:15[,S,F,F,C,P,30.99,30.99
01/01/2020,11:30,[11:15-11:30[,S,F,F,C,P,30.99,30.99
01/01/2020,11:45,[11:30-11:45[,S,F,F,C,P,30.99,30.99
01/01/2020,12:00,[11:45-12:00[,S,F,F,C,P,30.99,30.99
01/01/2020,12:15,[12:00-12:15[,S,F,F,C,C,30.04,30.04
01/01/2020,12:30,[12:15-12:30[,S,F,F,C,C,30.04,30.04
