dia,hora,intervalo,Simples,BD,BS,TD,TS,preco_pt,preco_es
01/01/2011,00:15,[00:00-00:15[,S,V,V,V,V,53.68,53.68
01/01/2011,00:30,[00:15-00:30[,S,V,V,V,V,53.68,53.68
01/01/2011,00:45,[00:30-00:45[,S,V,V,V,V,53.68,53.68
01/01/2011,01:00,[00:45-01:00[,S,V,V,V,V,53.68,53.68
01/01/2011,01:15,[01:00-01:15[,S,V,V,V,V,47.12,47.12
01/01/2011,01:30,[01:15-01:30[,S,V,V,V,V,47.12,47.12
01/01/2011,01:45,[01:30-01:45[,S,V,V,V,V,47.12,47.12
01/01/2011,02:00,[01:45-02:00[,S,V,V,V,V,47.12,47.12
01/01/2011,02:15,[02:00-02:15[,S,V,V,V,V,43.77,43.77
01/01/2011,02:30,[02:15-02:30[,S,V,V,V,V,43.77,43.77
01/01/2011,02:45,[02:30-02:45[,S,V,V,V,V,43.77,43.77
01/01/2011,03:00,[02:45-03:00[,S,V,V,V,V,43.77,43.77
01/01/2011,03:15,[03:00-03:15[,S,V,V,V,V,40.72,40.72
01/01/2011,03:30,[03:15-03:30[,S,V,V,V,V,40.72,40.72
01/01/2011,03:45,[03:30-03:45[,S,V,V,V,V,40.72,40.72
01/01/2011,04:00,[03:45-04:00[,S,V,V,V,V,40.72,40.72
01/01/2011,04:15,[04:00-04:15[,S,V,V,V,V,40.72,40.72
01/01/2011,04:30,[04:15-04:30[,S,V,V,V,V,40.72,40.72
01/01/2011,04:45,[04:30-04:45[,S,V,V,V,V,40.72,40.72
01/01/2011,05:00,[04:45-05:00[,S,V,V,V,V,40.72,40.72
01/01/2011,05:15,[05:00-05:15[,S,V,V,V,V,40.72,40.72
01/01/2011,05:30,[05:15-05:30[,S,V,V,V,V,40.72,40.72
01/01/2011,05:45,[05:30-05:45[,S,V,V,V,V,40.72,40.72
01/01/2011,06:00,[05:45-06:00[,S,V,V,V,V,40.72,40.72
01/01/2011,06:15,[06:00-06:15[,S,V,V,V,V,41.14,41.14
01/01/2011,06:30,[06:15-06:30[,S,V,V,V,V,41.14,41.14
01/01/2011,06:45,[06:30-06:45[,S,V,V,V,V,41.14,41.14
01/01/2011,07:00,[06:45-07:00[,S,V,V,V,V,41.14,41.14
01/01/2011,07:15,[07:00-07:15[,S,V,V,V,V,38.48,38.48
01/01/2011,07:30,[07:15-07:30[,S,V,V,V,V,38.48,38.48
01/01/2011,07:45,[07:30-07:45[,S,V,V,V,V,38.48,38.48
01/01/2011,08:00,[07:45-08:00[,S,V,V,V,V,38.48,38.48
01/01/2011,08:15,[08:00-08:15[,S,F,V,C,V,40.23,40.23
01/01/2011,08:30,[08:15-08:30[,S,F,V,C,V,40.23,40.23
01/01/2011,08:45,[08:30-08:45[,S,F,V,C,V,40.23,40.23
01/01/2011,09:00,[08:45-09:00[,S,F,V,C,V,40.23,40.23
01/01/2011,09:15,[09:00-09:15[,S,F,V,P,V,45.06,45.06
01/01/2011,09:30,[09:15-09:30[,S,F,V,P,V,45.06,45.06
01/01/2011,09:45,[09:30-09:45[,S,F,F,P,C,45.06,45.06
01/01/2011,10:00,[09:45-10:00[,S,F,F,P,C,45.06,45.06
01/01/2011,10:15,[10:00-10:15[,S,F,F,P,C,46.02,46.02
01/01/2011,10:30,[10:15-10:30[,S,F,F,P,C,46.02,46.02
01/01/2011,10:45,[10:30-10:45[,S,F,F,C,C,46.02,46.02
01/01/2011,11:00,[10:45-11:00[,S,F,F,C,C,46.02,46.02
01/01/2011,11:15,[11:00-11:15[,S,F,F,C,C,47.80,47.80
01/01/2011,11:30,[11:15-11:30[,S,F,F,C,C,47.80,47.80
01/01/2011,11:45,[11:30-11:45[,S,F,F,C,C,47.80,47.80
01/01/2011,12:00,[11:45-12:00[,S,F,F,C,C,47.80,47.80
01/01/2011,12:15,[12:00-12:15[,S,F,F,C,C,46.52,46.52
01/01/2011,12:30,[12:15-12:30[,S,F,F,C,C,46.52,46.52
01/01/2011,12:45,[12:30-12:45[,S,F,F,C,C,46.52,46.52
01/01/2011,13:00,[12:45-13:00[,S,F,F,C,C,46.52,46.52
01/01/2011,13:15,[13:00-13:15[,S,F,V,C,V,45.80,45.80
01/01/2011,13:30,[13:15-13:30[,S,F,V,C,V,45.80,45.80
01/01/2011,13:45,[13:30-13:45[,S,F,V,C,V,45.80,45.80
01/01/2011,14:00,[13:45-14:00[,S,F,V,C,V,45.80,45.80
01/01/2011,14:15,[14:00-14:15[,S,F,V,C,V,43.04,43.04
01/01/2011,14:30,[14:15-14:30[,S,F,V,C,V,43.04,43.04
01/01/2011,14:45,[14:30-14:45[,S,F,V,C,V,43.04,43.04
01/01/2011,15:00,[14:45-15:00[,S,F,V,C,V,43.04,43.04
01/01/2011,15:15,[15:00-15:15[,S,F,V,C,V,42.25,42.25
01/01/2011,15:30,[15:15-15:30[,S,F,V,C,V,42.25,42.25
01/01/2011,15:45,[15:30-15:45[,S,F,V,C,V,42.25,42.25
01/01/2011,16:00,[15:45-16:00[,S,F,V,C,V,42.25,42.25
01/01/2011,16:15,[16:00-16:15[,S,F,V,C,V,46.02,46.02
01/01/2011,16:30,[16:15-16:30[,S,F,V,C,V,46.02,46.02
01/01/2011,16:45,[16:30-16:45[,S,F,V,C,V,46.02,46.02
01/01/2011,17:00,[16:45-17:00[,S,F,V,C,V,46.02,46.02
01/01/2011,17:15,[17:00-17:15[,S,F,V,C,V,49.65,49.65
01/01/2011,17:30,[17:15-17:30[,S,F,V,C,V,49.65,49.65
01/01/2011,17:45,[17:30-17:45[,S,F,V,C,V,49.65,49.65
01/01/2011,18:00,[17:45-18:00[,S,F,V,C,V,49.65,49.65
01/01/2011,18:15,[18:00-18:15[,S,F,V,P,V,49.65,49.65
01/01/2011,18:30,[18:15-18:30[,S,F,V,P,V,49.65,49.65
01/01/2011,18:45,[18:30-18:45[,S,F,F,P,C,49.65,49.65
01/01/2011,19:00,[18:45-19:00[,S,F,F,P,C,49.65,49.65
01/01/2011,19:15,[19:00-19:15[,S,F,F,P,C,50.01,50.01
01/01/2011,19:30,[19:15-19:30[,S,F,F,P,C,50.01,50.01
01/01/2011,19:45,[19:30-19:45[,S,F,F,P,C,50.01,50.01
01/01/2011,20:00,[19:45-20:00[,S,F,F,P,C,50.01,50.01
01/01/2011,20:15,[20:00-20:15[,S,F,F,P,C,53.01,53.01
01/01/2011,20:30,[20:15-20:30[,S,F,F,P,C,53.01,53.01
01/01/2011,20:45,[20:30-20:45[,S,F,F,C,C,53.01,53.01
01/01/2011,21:00,[20:45-21:00[,S,F,F,C,C,53.01,53.01
01/01/2011,21:15,[21:00-21:15[,S,F,F,C,C,52.06,52.06
01/01/2011,21:30,[21:15-21:30[,S,F,F,C,C,52.06,52.06
01/01/2011,21:45,[21:30-21:45[,S,F,F,C,C,52.06,52.06
01/01/2011,22:00,[21:45-22:00[,S,F,F,C,C,52.06,52.06
01/01/2011,22:15,[22:00-22:15[,S,V,V,V,V,49.65,49.65
01/01/2011,22:30,[22:15-22:30[,S,V,V,V,V,49.65,49.65
01/01/2011,22:45,[22:30-22:45[,S,V,V,V,V,49.65,49.65
01/01/2011,23:00,[22:45-23:00[,S,V,V,V,V,49.65,49.65
01/01/2011,23:15,[23:00-23:15[,S,V,V,V,V,53.68,53.68
01/01/2011,23:30,[23:15-23:30[,S,V,V,V,V,53.68,53.68
01/01/2011,23:45,[23:30-23:45[,S,V,V,V,V,53.68,53.68
01/01/2011,23:59,[23:45-00:00[,S,V,V,V,V,53.68,53.68
02/01/2011,00:15,[00:00-00:15[,S,V,V,V,V,48.65,48.65
02/01/2011,00:30,[00:15-00:30[,S,V,V,V,V,48.65,48.65
02/01/2011,00:45,[00:30-00:45[,S,V,V,V,V,48.65,48.65
02/01/2011,01:00,[00:45-01:00[,S,V,V,V,V,48.65,48.65
02/01/2011,01:15,[01:00-01:15[,S,V,V,V,V,43.13,43.13
02/01/2011,01:30,[01:15-01:30[,S,V,V,V,V,43.13,43.13
02/01/2011,01:45,[01:30-01:45[,S,V,V,V,V,43.13,43.13
02/01/2011,02:00,[01:45-02:00[,S,V,V,V,V,43.13,43.13
02/01/2011,02:15,[02:00-02:15[,S,V,V,V,V,37.45,37.45
02/01/2011,02:30,[02:15-02:30[,S,V,V,V,V,37.45,37.45
02/01/2011,02:45,[02:30-02:45[,S,V,V,V,V,37.45,37.45
02/01/2011,03:00,[02:45-03:00[,S,V,V,V,V,37.45,37.45
02/01/2011,03:15,[03:00-03:15[,S,V,V,V,V,32.00,32.00
02/01/2011,03:30,[03:15-03:30[,S,V,V,V,V,32.00,32.00
02/01/2011,03:45,[03:30-03:45[,S,V,V,V,V,32.00,32.00
02/01/2011,04:00,[03:45-04:00[,S,V,V,V,V,32.00,32.00
02/01/2011,04:15,[04:00-04:15[,S,V,V,V,V,24.00,24.00
02/01/2011,04:30,[04:15-04:30[,S,V,V,V,V,24.00,24.00
02/01/2011,04:45,[04:30-04:45[,S,V,V,V,V,24.00,24.00
02/01/2011,05:00,[04:45-05:00[,S,V,V,V,V,24.00,24.00
02/01/2011,05:15,[05:00-05:15[,S,V,V,V,V,31.00,31.00
02/01/2011,05:30,[05:15-05:30[,S,V,V,V,V,31.00,31.00
02/01/2011,05:45,[05:30-05:45[,S,V,V,V,V,31.00,31.00
02/01/2011,06:00,[05:45-06:00[,S,V,V,V,V,31.00,31.00
02/01/2011,06:15,[06:00-06:15[,S,V,V,V,V,35.00,35.00
02/01/2011,06:30,[06:15-06:30[,S,V,V,V,V,35.00,35.00
02/01/2011,06:45,[06:30-06:45[,S,V,V,V,V,35.00,35.00
02/01/2011,07:00,[06:45-07:00[,S,V,V,V,V,35.00,35.00
02/01/2011,07:15,[07:00-07:15[,S,V,V,V,V,34.07,34.07
02/01/2011,07:30,[07:15-07:30[,S,V,V,V,V,34.07,34.07
02/01/2011,07:45,[07:30-07:45[,S,V,V,V,V,34.07,34.07
02/01/2011,08:00,[07:45-08:00[,S,V,V,V,V,34.07,34.07
02/01/2011,08:15,[08:00-08:15[,S,F,V,C,V,37.48,37.48
02/01/2011,08:30,[08:15-08:30[,S,F,V,C,V,37.48,37.48
02/01/2011,08:45,[08:30-08:45[,S,F,V,C,V,37.48,37.48
02/01/2011,09:00,[08:45-09:00[,S,F,V,C,V,37.48,37.48
02/01/2011,09:15,[09:00-09:15[,S,F,V,P,V,42.79,42.79
02/01/2011,09:30,[09:15-09:30[,S,F,V,P,V,42.79,42.79
02/01/2011,09:45,[09:30-09:45[,S,F,V,P,V,42.79,42.79
02/01/2011,10:00,[09:45-10:00[,S,F,V,P,V,42.79,42.79
02/01/2011,10:15,[10:00-10:15[,S,F,V,P,V,43.13,43.13
02/01/2011,10:30,[10:15-10:30[,S,F,V,P,V,43.13,43.13
02/01/2011,10:45,[10:30-10:45[,S,F,V,C,V,43.13,43.13
02/01/2011,11:00,[10:45-11:00[,S,F,V,C,V,43.13,43.13
02/01/2011,11:15,[11:00-11:15[,S,F,V,C,V,45.50,45.50
02/01/2011,11:30,[11:15-11:30[,S,F,V,C,V,45.50,45.50
02/01/2011,11:45,[11:30-11:45[,S,F,V,C,V,45.50,45.50
02/01/2011,12:00,[11:45-12:00[,S,F,V,C,V,45.50,45.50
02/01/2011,12:15,[12:00-12:15[,S,F,V,C,V,43.16,43.16
02/01/2011,12:30,[12:15-12:30[,S,F,V,C,V,43.16,43.16
02/01/2011,12:45,[12:30-12:45[,S,F,V,C,V,43.16,43.16
02/01/2011,13:00,[12:45-13:00[,S,F,V,C,V,43.16,43.16
02/01/2011,13:15,[13:00-13:15[,S,F,V,C,V,42.79,42.79
02/01/2011,13:30,[13:15-13:30[,S,F,V,C,V,42.79,42.79
02/01/2011,13:45,[13:30-13:45[,S,F,V,C,V,42.79,42.79
02/01/2011,14:00,[13:45-14:00[,S,F,V,C,V,42.79,42.79
02/01/2011,14:15,[14:00-14:15[,S,F,V,C,V,41.65,41.65
02/01/2011,14:30,[14:15-14:30[,S,F,V,C,V,41.65,41.65
02/01/2011,14:45,[14:30-14:45[,S,F,V,C,V,41.65,41.65
02/01/2011,15:00,[14:45-15:00[,S,F,V,C,V,41.65,41.65
02/01/2011,15:15,[15:00-15:15[,S,F,V,C,V,42.15,42.15
02/01/2011,15:30,[15:15-15:30[,S,F,V,C,V,42.15,42.15
02/01/2011,15:45,[15:30-15:45[,S,F,V,C,V,42.15,42.15
02/01/2011,16:00,[15:45-16:00[,S,F,V,C,V,42.15,42.15
02/01/2011,16:15,[16:00-16:15[,S,F,V,C,V,43.13,43.13
02/01/2011,16:30,[16:15-16:30[,S,F,V,C,V,43.13,43.13
02/01/2011,16:45,[16:30-16:45[,S,F,V,C,V,43.13,43.13
02/01/2011,17:00,[16:45-17:00[,S,F,V,C,V,43.13,43.13
02/01/2011,17:15,[17:00-17:15[,S,F,V,C,V,49.65,49.65
02/01/2011,17:30,[17:15-17:30[,S,F,V,C,V,49.65,49.65
02/01/2011,17:45,[17:30-17:45[,S,F,V,C,V,49.65,49.65
02/01/2011,18:00,[17:45-18:00[,S,F,V,C,V,49.65,49.65
02/01/2011,18:15,[18:00-18:15[,S,F,V,P,V,51.26,51.26
02/01/2011,18:30,[18:15-18:30[,S,F,V,P,V,51.26,51.26
02/01/2011,18:45,[18:30-18:45[,S,F,V,P,V,51.26,51.26
02/01/2011,19:00,[18:45-19:00[,S,F,V,P,V,51.26,51.26
02/01/2011,19:15,[19:00-19:15[,S,F,V,P,V,53.72,53.72
02/01/2011,19:30,[19:15-19:30[,S,F,V,P,V,53.72,53.72
02/01/2011,19:45,[19:30-19:45[,S,F,V,P,V,53.72,53.72
02/01/2011,20:00,[19:45-20:00[,S,F,V,P,V,53.72,53.72
02/01/2011,20:15,[20:00-20:15[,S,F,V,P,V,65.74,65.74
02/01/2011,20:30,[20:15-20:30[,S,F,V,P,V,65.74,65.74
02/01/2011,20:45,[20:30-20:45[,S,F,V,C,V,65.74,65.74
02/01/2011,21:00,[20:45-21:00[,S,F,V,C,V,65.74,65.74
02/01/2011,21:15,[21:00-21:15[,S,F,V,C,V,56.14,56.14
02/01/2011,21:30,[21:15-21:30[,S,F,V,C,V,56.14,56.14
02/01/2011,21:45,[21:30-21:45[,S,F,V,C,V,56.14,56.14
02/01/2011,22:00,[21:45-22:00[,S,F,V,C,V,56.14,56.14
02/01/2011,22:15,[22:00-22:15[,S,V,V,V,V,53.04,53.04
02/01/2011,22:30,[22:15-22:30[,S,V,V,V,V,53.04,53.04
02/01/2011,22:45,[22:30-22:45[,S,V,V,V,V,53.04,53.04
02/01/2011,23:00,[22:45-23:00[,S,V,V,V,V,53.04,53.04
02/01/2011,23:15,[23:00-23:15[,S,V,V,V,V,53.21,39.02
02/01/2011,23:30,[23:15-23:30[,S,V,V,V,V,53.21,39.02
02/01/2011,23:45,[23:30-23:45[,S,V,V,V,V,53.21,39.02
02/01/2011,23:59,[23:45-00:00[,S,V,V,V,V,53.21,39.02
03/01/2011,00:15,[00:00-00:15[,S,V,V,V,V,45.90,37.48
03/01/2011,00:30,[00:15-00:30[,S,V,V,V,V,45.90,37.48
03/01/2011,00:45,[00:30-00:45[,S,V,V,V,V,45.90,37.48
03/01/2011,01:00,[00:45-01:00[,S,V,V,V,V,45.90,37.48
03/01/2011,01:15,[01:00-01:15[,S,V,V,V,V,22.00,20.13
03/01/2011,01:30,[01:15-01:30[,S,V,V,V,V,22.00,20.13
03/01/2011,01:45,[01:30-01:45[,S,V,V,V,V,22.00,20.13
03/01/2011,02:00,[01:45-02:00[,S,V,V,V,V,22.00,20.13
03/01/2011,02:15,[02:00-02:15[,S,V,V,V,V,19.13,19.13
03/01/2011,02:30,[02:15-02:30[,S,V,V,V,V,19.13,19.13
03/01/2011,02:45,[02:30-02:45[,S,V,V,V,V,19.13,19.13
03/01/2011,03:00,[02:45-03:00[,S,V,V,V,V,19.13,19.13
03/01/2011,03:15,[03:00-03:15[,S,V,V,V,V,19.13,19.13
03/01/2011,03:30,[03:15-03:30[,S,V,V,V,V,19.13,19.13
03/01/2011,03:45,[03:30-03:45[,S,V,V,V,V,19.13,19.13
03/01/2011,04:00,[03:45-04:00[,S,V,V,V,V,19.13,19.13
03/01/2011,04:15,[04:00-04:15[,S,V,V,V,V,20.13,20.13
03/01/2011,04:30,[04:15-04:30[,S,V,V,V,V,20.13,20.13
03/01/2011,04:45,[04:30-04:45[,S,V,V,V,V,20.13,20.13
03/01/2011,05:00,[04:45-05:00[,S,V,V,V,V,20.13,20.13
03/01/2011,05:15,[05:00-05:15[,S,V,V,V,V,37.54,37.54
03/01/2011,05:30,[05:15-05:30[,S,V,V,V,V,37.54,37.54
03/01/2011,05:45,[05:30-05:45[,S,V,V,V,V,37.54,37.54
03/01/2011,06:00,[05:45-06:00[,S,V,V,V,V,37.54,37.54
03/01/2011,06:15,[06:00-06:15[,S,V,V,V,V,43.38,43.38
03/01/2011,06:30,[06:15-06:30[,S,V,V,V,V,43.38,43.38
03/01/2011,06:45,[06:30-06:45[,S,V,V,V,V,43.38,43.38
03/01/2011,07:00,[06:45-07:00[,S,V,V,V,V,43.38,43.38
03/01/2011,07:15,[07:00-07:15[,S,V,F,V,C,45.57,45.57
03/01/2011,07:30,[07:15-07:30[,S,V,F,V,C,45.57,45.57
03/01/2011,07:45,[07:30-07:45[,S,V,F,V,C,45.57,45.57
03/01/2011,08:00,[07:45-08:00[,S,V,F,V,C,45.57,45.57
03/01/2011,08:15,[08:00-08:15[,S,F,F,C,C,47.76,47.76
03/01/2011,08:30,[08:15-08:30[,S,F,F,C,C,47.76,47.76
03/01/2011,08:45,[08:30-08:45[,S,F,F,C,C,47.76,47.76
03/01/2011,09:00,[08:45-09:00[,S,F,F,C,C,47.76,47.76
03/01/2011,09:15,[09:00-09:15[,S,F,F,P,C,48.02,48.02
03/01/2011,09:30,[09:15-09:30[,S,F,F,P,C,48.02,48.02
03/01/2011,09:45,[09:30-09:45[,S,F,F,P,P,48.02,48.02
03/01/2011,10:00,[09:45-10:00[,S,F,F,P,P,48.02,48.02
03/01/2011,10:15,[10:00-10:15[,S,F,F,P,P,48.26,48.26
03/01/2011,10:30,[10:15-10:30[,S,F,F,P,P,48.26,48.26
03/01/2011,10:45,[10:30-10:45[,S,F,F,C,P,48.26,48.26
03/01/2011,11:00,[10:45-11:00[,S,F,F,C,P,48.26,48.26
03/01/2011,11:15,[11:00-11:15[,S,F,F,C,P,52.10,52.10
03/01/2011,11:30,[11:15-11:30[,S,F,F,C,P,52.10,52.10
03/01/2011,11:45,[11:30-11:45[,S,F,F,C,P,52.10,52.10
03/01/2011,12:00,[11:45-12:00[,S,F,F,C,P,52.10,52.10
03/01/2011,12:15,[12:00-12:15[,S,F,F,C,C,52.10,52.10
03/01/2011,12:30,[12:15-12:30[,S,F,F,C,C,52.10,52.10
03/01/2011,12:45,[12:30-12:45[,S,F,F,C,C,52.10,52.10
03/01/2011,13:00,[12:45-13:00[,S,F,F,C,C,52.10,52.10
03/01/2011,13:15,[13:00-13:15[,S,F,F,C,C,52.32,52.32
03/01/2011,13:30,[13:15-13:30[,S,F,F,C,C,52.32,52.32
03/01/2011,13:45,[13:30-13:45[,S,F,F,C,C,52.32,52.32
03/01/2011,14:00,[13:45-14:00[,S,F,F,C,C,52.32,52.32
03/01/2011,14:15,[14:00-14:15[,S,F,F,C,C,50.92,50.92
03/01/2011,14:30,[14:15-14:30[,S,F,F,C,C,50.92,50.92
03/01/2011,14:45,[14:30-14:45[,S,F,F,C,C,50.92,50.92
03/01/2011,15:00,[14:45-15:00[,S,F,F,C,C,50.92,50.92
03/01/2011,15:15,[15:00-15:15[,S,F,F,C,C,51.76,51.76
03/01/2011,15:30,[15:15-15:30[,S,F,F,C,C,51.76,51.76
03/01/2011,15:45,[15:30-15:45[,S,F,F,C,C,51.76,51.76
03/01/2011,16:00,[15:45-16:00[,S,F,F,C,C,51.76,51.76
03/01/2011,16:15,[16:00-16:15[,S,F,F,C,C,57.53,57.53
03/01/2011,16:30,[16:15-16:30[,S,F,F,C,C,57.53,57.53
03/01/2011,16:45,[16:30-16:45[,S,F,F,C,C,57.53,57.53
03/01/2011,17:00,[16:45-17:00[,S,F,F,C,C,57.53,57.53
03/01/2011,17:15,[17:00-17:15[,S,F,F,C,C,65.03,65.03
03/01/2011,17:30,[17:15-17:30[,S,F,F,C,C,65.03,65.03
03/01/2011,17:45,[17:30-17:45[,S,F,F,C,C,65.03,65.03
03/01/2011,18:00,[17:45-18:00[,S,F,F,C,C,65.03,65.03
03/01/2011,18:15,[18:00-18:15[,S,F,F,P,C,65.00,65.00
03/01/2011,18:30,[18:15-18:30[,S,F,F,P,C,65.00,65.00
03/01/2011,18:45,[18:30-18:45[,S,F,F,P,P,65.00,65.00
03/01/2011,19:00,[18:45-19:00[,S,F,F,P,P,65.00,65.00
03/01/2011,19:15,[19:00-19:15[,S,F,F,P,P,55.06,55.06
03/01/2011,19:30,[19:15-19:30[,S,F,F,P,P,55.06,55.06
03/01/2011,19:45,[19:30-19:45[,S,F,F,P,P,55.06,55.06
03/01/2011,20:00,[19:45-20:00[,S,F,F,P,P,55.06,55.06
03/01/2011,20:15,[20:00-20:15[,S,F,F,P,P,60.00,60.00
03/01/2011,20:30,[20:15-20:30[,S,F,F,P,P,60.00,60.00
03/01/2011,20:45,[20:30-20:45[,S,F,F,C,P,60.00,60.00
03/01/2011,21:00,[20:45-21:00[,S,F,F,C,P,60.00,60.00
03/01/2011,21:15,[21:00-21:15[,S,F,F,C,C,54.23,54.23
03/01/2011,21:30,[21:15-21:30[,S,F,F,C,C,54.23,54.23
03/01/2011,21:45,[21:30-21:45[,S,F,F,C,C,54.23,54.23
03/01/2011,22:00,[21:45-22:00[,S,F,F,C,C,54.23,54.23
03/01/2011,22:15,[22:00-22:15[,S,V,F,V,C,49.02,49.02
03/01/2011,22:30,[22:15-22:30[,S,V,F,V,C,49.02,49.02
03/01/2011,22:45,[22:30-22:45[,S,V,F,V,C,49.02,49.02
03/01/2011,23:00,[22:45-23:00[,S,V,F,V,C,49.02,49.02
03/01/2011,23:15,[23:00-23:15[,S,V,F,V,C,45.66,45.66
03/01/2011,23:30,[23:15-23:30[,S,V,F,V,C,45.66,45.66
03/01/2011,23:45,[23:30-23:45[,S,V,F,V,C,45.66,45.66
03/01/2011,23:59,[23:45-00:00[,S,V,F,V,C,45.66,45.66
